Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts,audit_deal_close_date_parsed,source_row_excel,buyer_company_std,buyer_company_norm,buyer_ticker_std,buyer_ticker_norm,deal_object_std,deal_object_norm,announcement_date_std,completion_date_std,actualization_date_std,creation_date_std,announcement_time_std,completion_time_std,deal_value_usd_mn_std,stake_pct_std,deal_status_clean,deal_kind_clean,deal_type_clean,integration_direction_clean
Альфа-банк,ACBR,Сбарро Рус (Пицца Сбарро),22.03.2018,,22.03.2018,09:25,Завершена,"3,50","25,10%",Влияние,Рыночная,Круговая,Внутренняя,3.2018,,,22.03.2018,22.03.2018,Пищевая промышленность,"Азербайджан, Казахстан, Россия",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2018-03-22,,2018-03-22,2018-03-22,,,,,3.12.9,2026-03-29T18:04:43.196371+03:00,2018-03-22,108,Альфа-банк,альфа банк,ACBR,ACBR,Сбарро Рус (Пицца Сбарро),сбарро рус пицца сбарро,2018-03-22,2018-03-22,2018-03-22,2018-03-22,,09:25,3.5,25.1,Завершена,Влияние,Рыночная,Круговая
Сбер (Сбербанк),SBER,Мессенджер Dialog,18.12.2017,06:16,29.03.2018,12:40,Завершена,,"60,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,3.2018,10.2017,,30.03.2018,11.10.2017,Телекоммуникации,"Индия, Латвия, Россия (СЗФО)",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.680684,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2017-12-18,06:16,2018-03-30,2017-10-11,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.198789+03:00,2018-03-29,109,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Мессенджер Dialog,мессенджер dialog,2017-12-18,2018-03-29,2018-03-30,2017-10-11,06:16,12:40,,60.0,Завершена,Полное приобретение,Рыночная,Круговая
Альфа-банк,ACBR,Pay-Me,25.01.2018,,25.01.2018,09:37,Завершена,"7,51","49,00%",Влияние,Рыночная,Вертикальная,Внутренняя,1.2018,,,25.01.2018,25.01.2018,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2018-01-25,,2018-01-25,2018-01-25,,,,,3.12.9,2026-03-29T18:04:43.204335+03:00,2018-01-25,110,Альфа-банк,альфа банк,ACBR,ACBR,Pay-Me,pay me,2018-01-25,2018-01-25,2018-01-25,2018-01-25,,09:37,7.51,49.0,Завершена,Влияние,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,Агрохолдинг Юрма,28.01.2018,,18.01.2018,,Завершена,,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,1.2018,,,28.01.2018,28.01.2018,Пищевая промышленность,Россия (ПФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.774414,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_non_trade_day_next_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2018-01-28,,2018-01-28,2018-01-28,1.0,2018-01-29,2018-01-29T10:00:00+03:00,time_missing_non_trade_day_next_open,3.12.9,2026-03-29T18:04:43.205345+03:00,2018-01-18,111,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Агрохолдинг Юрма,агрохолдинг юрма,2018-01-28,2018-01-18,2018-01-28,2018-01-28,,,,100.0,Завершена,Полное приобретение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Гатчинский комбикормовый завод (ГКЗ),18.01.2018,00:00,19.01.2018,17:37,Оформление,"7,52—32,24","77,00%",Поглощение,Рыночная,Круговая,Внутренняя,,,1.2018,28.01.2018,28.01.2018,Пищевая промышленность,Россия (СЗФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.774414,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2018-01-18,00:00,2018-01-28,2018-01-28,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.208277+03:00,2018-01-19,112,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Гатчинский комбикормовый завод (ГКЗ),гатчинский комбикормовый завод гкз,2018-01-18,2018-01-19,2018-01-28,2018-01-28,00:00,17:37,,77.0,Оформление,Поглощение,Рыночная,Круговая
ПАО Совкомбанк,SVCB,Росевробанк,17.10.2017,,30.01.2018,20:36,Завершена,"64,00","11,00%",Консолидация,Рыночная,Горизонтальная,Внутренняя,1.2018,11.2017,11.2017,30.01.2018,17.10.2017,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2017-10-17,,2018-01-30,2017-10-17,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.212882+03:00,2018-01-30,113,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Росевробанк,росевробанк,2017-10-17,2018-01-30,2018-01-30,2017-10-17,,20:36,64.0,11.0,Завершена,Консолидация,Рыночная,Горизонтальная
Т-банк (Тинькофф),T,CloudPayments,13.10.2017,,12.10.2017,22:30,Завершена,"5,09","55,00%",Покупка,Рыночная,Вертикальная,Внутренняя,10.2017,,,11.10.2017,13.10.2017,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2017-10-13,,2017-10-11,2017-10-13,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.215867+03:00,2017-10-12,114,Т-банк (Тинькофф),т банк тинькофф,T,T,CloudPayments,cloudpayments,2017-10-13,2017-10-12,2017-10-11,2017-10-13,,22:30,5.09,55.0,Завершена,Покупка,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,Мособлкомплекс / Складской комплекс в Лобне Московской области,27.09.2017,,04.09.2017,12:24,Оформление,,"100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,,,9.2017,29.09.2017,27.09.2017,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.769138,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2017-09-27,,2017-09-29,2017-09-27,0.0,2017-09-27,2017-09-27T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.218496+03:00,2017-09-04,115,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Мособлкомплекс / Складской комплекс в Лобне Московской области,мособлкомплекс складской комплекс в лобне московской области,2017-09-27,2017-09-04,2017-09-29,2017-09-27,,12:24,,100.0,Оформление,Полное приобретение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Poslovni Sistem Mercator d.d. (Mercator) (Словения),12.07.2017,,07.07.2017,18:14,Завершена,"46,26","18,53%",Участие,Рыночная,Круговая,Импортная,7.2017,,,12.07.2017,12.07.2017,Услуги / торговля,Словения,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.708065,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2017-07-12,,2017-07-12,2017-07-12,0.0,2017-07-12,2017-07-12T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.221405+03:00,2017-07-07,116,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Poslovni Sistem Mercator d.d. (Mercator) (Словения),poslovni sistem mercator d d mercator словения,2017-07-12,2017-07-07,2017-07-12,2017-07-12,,18:14,46.26,18.53,Завершена,Участие,Рыночная,Круговая
Сбер (Сбербанк),SBER,Синявинская птицефабрика,05.07.2017,,03.05.2017,13:57,Завершена,"59,09—88,64","89,53%",Поглощение,Рыночная,Круговая,Внутренняя,7.2017,,5.2017,11.04.2018,05.07.2017,Пищевая промышленность,Россия (СЗФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.708065,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2017-07-05,,2018-04-11,2017-07-05,0.0,2017-07-05,2017-07-05T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.223743+03:00,2017-05-03,117,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Синявинская птицефабрика,синявинская птицефабрика,2017-07-05,2017-05-03,2018-04-11,2017-07-05,,13:57,,89.53,Завершена,Поглощение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Агрохолдинг Пулковский,09.06.2017,18:09,,,Оформление,"20,26—28,70","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,,,6.2017,05.07.2017,05.07.2017,Пищевая промышленность,Россия (СЗФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.902696,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2017-06-09,18:09,2017-07-05,2017-07-05,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.226058+03:00,,118,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Агрохолдинг Пулковский,агрохолдинг пулковский,2017-06-09,,2017-07-05,2017-07-05,18:09,,,100.0,Оформление,Полное приобретение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Волховский комбикормовый завод (ВККЗ),26.06.2017,11:59,,,Переговоры,"8,44—12,66","91,43%",Поглощение,Рыночная,Круговая,Внутренняя,,6.2017,,05.07.2017,05.07.2017,Пищевая промышленность,Россия (СЗФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.902696,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2017-06-26,11:59,2017-07-05,2017-07-05,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.230833+03:00,,119,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Волховский комбикормовый завод (ВККЗ),волховский комбикормовый завод вккз,2017-06-26,,2017-07-05,2017-07-05,11:59,,,91.43,Переговоры,Поглощение,Рыночная,Круговая
Сбер (Сбербанк),SBER,Мебе-девелопмент,14.06.2017,17:33,,,Оформление,,"50,01%",Покупка,Рыночная,Круговая,Внутренняя,,,6.2017,19.06.2017,19.06.2017,Строительство,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.902696,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2017-06-14,17:33,2017-06-19,2017-06-19,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.237293+03:00,,120,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Мебе-девелопмент,мебе девелопмент,2017-06-14,,2017-06-19,2017-06-19,17:33,,,50.01,Оформление,Покупка,Рыночная,Круговая
Сбер (Сбербанк),SBER,DocDoc,16.03.2017,00:00,29.05.2017,,Завершена,"29,10","79,60%",Поглощение,Рыночная,Круговая,Внутренняя,5.2017,,,26.05.2017,26.05.2017,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.842334,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2017-03-16,00:00,2017-05-26,2017-05-26,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.239227+03:00,2017-05-29,121,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,DocDoc,docdoc,2017-03-16,2017-05-29,2017-05-26,2017-05-26,00:00,,29.1,79.6,Завершена,Поглощение,Рыночная,Круговая
МТС-банк (Московский банк реконструкции и развития),MBNK,Кагальницкий молокозавод,16.10.2015,,07.04.2017,16:22,Завершена,"13,07","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,3.2017,2.2017,3.2017,11.04.2017,16.10.2015,Пищевая промышленность,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,"Россия (СЗФО, ЦФО, ЮФО, УФО, СФО, ПФО)",,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,MBNK,МТС-Банк,TQBR,459a1a0a-0253-465a-bd4e-afaaf5e670b0,TCS00A0JRH43,0,2015-10-16,,2017-04-11,2015-10-16,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.241263+03:00,2017-04-07,122,МТС-банк (Московский банк реконструкции и развития),мтс банк московский банк реконструкции и развития,MBNK,MBNK,Кагальницкий молокозавод,кагальницкий молокозавод,2015-10-16,2017-04-07,2017-04-11,2015-10-16,,16:22,13.07,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,Sistema Venture Capital (Sistema VC),03.02.2017,,03.02.2017,06:43,Завершена,"16,86","10,00%",Участие,Рыночная,Параллельная,Внутренняя,2.2017,,,03.02.2017,03.02.2017,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.833901,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2017-02-03,,2017-02-03,2017-02-03,0.0,2017-02-03,2017-02-03T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.241964+03:00,2017-02-03,123,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Sistema Venture Capital (Sistema VC),sistema venture capital sistema vc,2017-02-03,2017-02-03,2017-02-03,2017-02-03,,06:43,16.86,10.0,Завершена,Участие,Рыночная,Параллельная
ПАО Совкомбанк,SVCB,Гаранти банк – Москва,10.10.2016,,10.10.2016,10:40,Оформление,"40,46","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,12.2016,,10.2016,10.10.2016,10.10.2016,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2016-10-10,,2016-10-10,2016-10-10,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.245411+03:00,2016-10-10,124,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Гаранти банк – Москва,гаранти банк москва,2016-10-10,2016-10-10,2016-10-10,2016-10-10,,10:40,40.46,100.0,Оформление,Полное приобретение,Рыночная,Горизонтальная
ПАО Совкомбанк,SVCB,КБ Пойдём!,29.04.2016,,24.11.2016,,Завершена,"5,91","100,00%",Полное приобретение,Квазиприватизационная,Горизонтальная,Внутренняя,12.2016,,11.2016,21.01.2017,29.04.2016,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2016-04-29,,2017-01-21,2016-04-29,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.248288+03:00,2016-11-24,125,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,КБ Пойдём!,кб пойдем,2016-04-29,2016-11-24,2017-01-21,2016-04-29,,,5.91,100.0,Завершена,Полное приобретение,Квазиприватизационная,Горизонтальная
Т-банк (Тинькофф),T,Мобильное приложение В кармане,28.08.2015,17:16,28.12.2016,,Завершена,"1,00","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,12.2016,,,28.12.2016,28.12.2016,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2015-08-28,17:16,2016-12-28,2016-12-28,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.249831+03:00,2016-12-28,126,Т-банк (Тинькофф),т банк тинькофф,T,T,Мобильное приложение В кармане,мобильное приложение в кармане,2015-08-28,2016-12-28,2016-12-28,2016-12-28,17:16,,1.0,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,РТС-тендер,10.10.2016,,19.10.2016,,Оформление,,"100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,,,10.2016,11.10.2016,10.10.2016,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2016-10-10,,2016-10-11,2016-10-10,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.252312+03:00,2016-10-19,127,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,РТС-тендер,ртс тендер,2016-10-10,2016-10-19,2016-10-11,2016-10-10,,,,100.0,Оформление,Полное приобретение,Рыночная,Параллельная
ПАО Совкомбанк,SVCB,Модульбанк (Региональный кредит),29.03.2016,,29.03.2016,20:56,Завершена,"6,04","9,99%",Участие,Рыночная,Горизонтальная,Внутренняя,4.2016,,3.2016,20.12.2017,29.03.2016,Финансы / Инвестиции / Страхование / Консалтинг,"Россия (СЗФО, ЦФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2016-03-29,,2017-12-20,2016-03-29,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.253140+03:00,2016-03-29,128,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Модульбанк (Региональный кредит),модульбанк региональный кредит,2016-03-29,2016-03-29,2017-12-20,2016-03-29,,20:56,6.04,9.99,Завершена,Участие,Рыночная,Горизонтальная
ПАО Совкомбанк,SVCB,Радиотехнические и информационные (РТИ) системы,29.04.2016,,29.04.2016,18:36,Завершена,"57,52","10,00%",Участие,Рыночная,Круговая,Внутренняя,4.2016,,,10.05.2016,29.04.2016,Телекоммуникации,"Австрия, Россия (СЗФО, ЦФО, ПФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2016-04-29,,2016-05-10,2016-04-29,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.253798+03:00,2016-04-29,129,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Радиотехнические и информационные (РТИ) системы,радиотехнические и информационные рти системы,2016-04-29,2016-04-29,2016-05-10,2016-04-29,,18:36,57.52,10.0,Завершена,Участие,Рыночная,Круговая
Сбер (Сбербанк),SBER,Advanced Merchant Payments (AMP),17.05.2016,,,,Завершена,"1,00","10,00%",Консолидация,Рыночная,Вертикальная,Импортная,3.2016,,,17.05.2016,17.05.2016,Телекоммуникации,"Великобритания, Гонконг, Сингапур",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",1.26461,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2016-05-17,,2016-05-17,2016-05-17,0.0,2016-05-17,2016-05-17T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.254396+03:00,,130,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Advanced Merchant Payments (AMP),advanced merchant payments amp,2016-05-17,,2016-05-17,2016-05-17,,,1.0,10.0,Завершена,Консолидация,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Экспресс-Волга,21.09.2015,,,,Завершена,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,12.2015,,9.2015,15.12.2015,21.09.2015,Финансы / Инвестиции / Страхование / Консалтинг,,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2015-09-21,,2015-12-15,2015-09-21,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.256626+03:00,,131,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Экспресс-Волга,экспресс волга,2015-09-21,,2015-12-15,2015-09-21,,,,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
Альфа-банк,ACBR,Райффайзенбанк,17.11.2015,,,,Переговоры,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,,11.2015,,18.11.2015,17.11.2015,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2015-11-17,,2015-11-18,2015-11-17,,,,,3.12.9,2026-03-29T18:04:43.257564+03:00,,132,Альфа-банк,альфа банк,ACBR,ACBR,Райффайзенбанк,райффайзенбанк,2015-11-17,,2015-11-18,2015-11-17,,,,100.0,Переговоры,Полное приобретение,Рыночная,Горизонтальная
Промсвязьбанк (ПСБ),PSBR,Первый объединенный банк / Первобанк,18.06.2015,,11.11.2015,10:31,Завершена,,"86,54%",Поглощение,Рыночная,Горизонтальная,Внутренняя,11.2015,6.2015,7.2015,12.11.2015,18.06.2015,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,0.001069,,0.00104,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2015-06-18,,2015-11-12,2015-06-18,,,,,3.12.9,2026-03-29T18:04:43.258425+03:00,2015-11-11,133,Промсвязьбанк (ПСБ),промсвязьбанк псб,PSBR,PSBR,Первый объединенный банк / Первобанк,первый объединенный банк первобанк,2015-06-18,2015-11-11,2015-11-12,2015-06-18,,10:31,,86.54,Завершена,Поглощение,Рыночная,Горизонтальная
Промсвязьбанк (ПСБ),PSBR,Банк Возрождение,13.07.2015,,,,Завершена,"7,64","9,88%",Консолидация,Рыночная,Горизонтальная,Внутренняя,10.2015,,,14.10.2015,13.07.2015,Финансы / Инвестиции / Страхование / Консалтинг,"Россия (СЗФО, ЦФО, ДФО, ЮФО, СФО, ПФО, СКФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,0.001067,,0.001091,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2015-07-13,,2015-10-14,2015-07-13,,,,,3.12.9,2026-03-29T18:04:43.259371+03:00,,134,Промсвязьбанк (ПСБ),промсвязьбанк псб,PSBR,PSBR,Банк Возрождение,банк возрождение,2015-07-13,,2015-10-14,2015-07-13,,,7.64,9.88,Завершена,Консолидация,Рыночная,Горизонтальная
Промсвязьбанк (ПСБ),PSBR,Банк Возрождение,13.07.2015,,,,Завершена,,"24,60%",Консолидация,Рыночная,Горизонтальная,Внутренняя,8.2015,,,24.08.2015,13.07.2015,Финансы / Инвестиции / Страхование / Консалтинг,"Россия (СЗФО, ЦФО, ДФО, ЮФО, СФО, ПФО, СКФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,0.001523,,0.001067,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2015-07-13,,2015-08-24,2015-07-13,,,,,3.12.9,2026-03-29T18:04:43.260444+03:00,,135,Промсвязьбанк (ПСБ),промсвязьбанк псб,PSBR,PSBR,Банк Возрождение,банк возрождение,2015-07-13,,2015-08-24,2015-07-13,,,,24.6,Завершена,Консолидация,Рыночная,Горизонтальная
