source_row_excel,Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Дата создания,DAYS_CREATE_TO_ANNOUNCEMENT,CAR_ANN_1_1,CAR_CREATE_1_1,CAR_ANN_3_3,CAR_CREATE_3_3,CAR_ANN_5_5,CAR_CREATE_5_5,CAR_ANN_10_10,CAR_CREATE_10_10,BHAR_ANN_60,BHAR_CREATE_60,BHAR_ANN_120,BHAR_CREATE_120,BHAR_ANN_250,BHAR_CREATE_250,RUNUP_PRE_30_5,CAR_PRE_ANNOUNCEMENT,DIFF_CREATE_MINUS_ANN_1_1,DIFF_CREATE_MINUS_ANN_3_3,DIFF_CREATE_MINUS_ANN_5_5,DIFF_CREATE_MINUS_ANN_10_10,DIFF_BHAR_CREATE_MINUS_ANN_120
33,Т-банк (Тинькофф),T,AnyQuery,24.11.2022,24.11.2022,0,-0.039707005915438,-0.039707005915438,-0.0476278347733597,-0.0476278347733597,-0.0183877734504394,-0.0183877734504394,0.0015167836865462,0.0015167836865462,,,,,,,0.1096160199391082,0.0888027874028943,0.0,0.0,0.0,0.0,
34,Ренессанс Капитал,RENI,Ситибанк,14.06.2022,14.06.2022,0,-0.0022673679272072,-0.0022673679272072,-0.0030768025617288,-0.0030768025617288,0.0570486845964178,0.0570486845964178,0.1301953400216202,0.1301953400216202,,,,,,,0.1047564439083413,0.116300622884677,0.0,0.0,0.0,0.0,
35,Т-банк (Тинькофф),T,БАНКОМ,05.04.2022,05.04.2022,0,0.0017347096943052,0.0017347096943052,0.1050172745398086,0.1050172745398086,0.2984478960867281,0.2984478960867281,-0.3796172008132212,-0.3796172008132212,,,,,,,-0.1455486493585274,0.0662488989944054,0.0,0.0,0.0,0.0,
36,ПАО Совкомбанк,SVCB,Витабанк,13.01.2026,18.05.2022,1336,0.0036763479965474,,0.0083203587376186,,0.0125875956370166,,0.0215732279846899,,,,,,,,-0.0156176257942202,-0.006962558276804,,,,,
37,ПАО Совкомбанк,SVCB,Узагроэкспортбанк,23.02.2022,29.11.2021,86,,,,,,,,,,,,,,,,,,,,,
38,Промсвязьбанк (ПСБ),PSBR,НПФ Гефест,03.02.2022,13.04.2022,-69,,,,,,,,,,,,,,,,,,,,,
39,Сбер (Сбербанк),SBER,Стокманн Россия,26.01.2022,26.01.2022,0,0.0732352388102191,0.0732352388102191,0.0616093386437575,0.0616093386437575,0.1132201124960965,0.1132201124960965,-0.0278308536254466,-0.0278308536254466,,,,,,,-0.1808658197461892,-0.2004912151988795,0.0,0.0,0.0,0.0,
40,Альфа-банк,ACBR,Франсабанк,17.12.2021,30.12.2021,-13,,,,,,,,,,,,,,,,,,,,,
41,ПАО Совкомбанк,SVCB,Страховая компания Согласие,16.01.2022,16.01.2022,0,,,,,,,,,,,,,,,,,,,,,
42,Сбер (Сбербанк),SBER,FuelUp,23.11.2021,23.11.2021,0,-0.0161769878681269,-0.0161769878681269,-0.1054924858074408,-0.1054924858074408,-0.0834962596826113,-0.0834962596826113,-0.1375983980543467,-0.1375983980543467,,,,,,,-0.0941677865717135,-0.1810303125348229,0.0,0.0,0.0,0.0,
43,Т-банк (Тинькофф),T,Jump.Finance,10.01.2022,10.01.2022,0,0.0240350568041284,0.0240350568041284,-0.0814604773686731,-0.0814604773686731,-0.109175151499188,-0.109175151499188,-0.2410742506354087,-0.2410742506354087,,,,,,,-0.1046869490036996,-0.154043647115325,0.0,0.0,0.0,0.0,
44,ПАО Совкомбанк,SVCB,Best2pay,10.01.2022,10.01.2022,0,,,,,,,,,,,,,,,,,,,,,
