source_row_excel,table_role,mapping_status,panel_key_count
97,create_daily,certain,1
99,create_daily,certain,1
100,create_daily,certain,1
109,create_daily,certain,1
111,create_daily,certain,1
112,create_daily,certain,1
115,create_daily,certain,1
116,create_daily,certain,1
117,create_daily,certain,1
118,create_daily,certain,1
119,create_daily,certain,1
120,create_daily,certain,1
121,create_daily,certain,1
123,create_daily,certain,1
130,create_daily,certain,1
138,create_daily,certain,1
142,create_daily,certain,1
143,create_daily,certain,1
145,create_daily,certain,1
146,create_daily,certain,1
147,create_daily,certain,1
149,create_daily,certain,1
150,create_daily,certain,1
151,create_daily,certain,1
153,create_daily,certain,1
154,create_daily,certain,1
155,create_daily,certain,1
156,create_daily,certain,1
157,create_daily,certain,1
158,create_daily,certain,1
160,create_daily,certain,1
161,create_daily,certain,1
162,create_daily,certain,1
163,create_daily,certain,1
167,create_daily,certain,1
169,create_daily,certain,1
170,create_daily,certain,1
171,create_daily,certain,1
172,create_daily,certain,1
174,create_daily,certain,1
175,create_daily,certain,1
176,create_daily,certain,1
177,create_daily,certain,1
178,create_daily,certain,1
181,create_daily,certain,1
182,create_daily,certain,1
183,create_daily,certain,1
184,create_daily,certain,1
185,create_daily,certain,1
186,create_daily,certain,1
187,create_daily,certain,1
188,create_daily,certain,1
189,create_daily,certain,1
191,create_daily,certain,1
192,create_daily,certain,1
193,create_daily,certain,1
194,create_daily,certain,1
198,create_daily,certain,1
199,create_daily,certain,1
200,create_daily,certain,1
201,create_daily,certain,1
202,create_daily,certain,1
203,create_daily,certain,1
204,create_daily,certain,1
205,create_daily,certain,1
206,create_daily,certain,1
207,create_daily,certain,1
