category,message,table_role,source_row_excel
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,157.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,157.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,158.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,158.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,158.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,158.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,159.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,160.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,161.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,161.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,161.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,161.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,162.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,162.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,162.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,162.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,163.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,163.0
insufficient_bhar_data,T=120: short_post_window,daily_bhar,163.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,163.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,165.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,166.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,168.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,169.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,169.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,169.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,169.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,170.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,170.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,170.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,170.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,171.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,171.0
insufficient_bhar_data,T=120: short_post_window,daily_bhar,171.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,171.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,172.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,172.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,172.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,172.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,173.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,176.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,176.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,176.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,176.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,177.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,177.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,177.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,177.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,178.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,178.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,178.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,178.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,179.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,180.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,181.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,181.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,181.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,181.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,182.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,182.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,182.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,182.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,185.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,185.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,185.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,185.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,186.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,186.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,186.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,186.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,187.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,187.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,187.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,187.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,189.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,189.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,189.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,189.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,190.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,191.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,191.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,191.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,191.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,192.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,192.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,192.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,192.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,194.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,194.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,194.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,194.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,195.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,196.0
missing_completion_coverage,No daily panel contains the completion date for re-anchored completion analysis,completion_daily,197.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,198.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,198.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,198.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,198.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,200.0
insufficient_bhar_data,T=60: short_post_window,daily_bhar,200.0
insufficient_bhar_data,T=120: short_post_window,daily_bhar,200.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,200.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,202.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,202.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,202.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,202.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,203.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,203.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,203.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,203.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,204.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,204.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,204.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,204.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,205.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,205.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,205.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,205.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,206.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,206.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,206.0
insufficient_bhar_data,T=250: missing_benchmark,daily_bhar,206.0
model_fallback,Using mean_adjusted (benchmark sparse or estimation window short),,207.0
insufficient_bhar_data,T=60: missing_benchmark,daily_bhar,207.0
insufficient_bhar_data,T=120: missing_benchmark,daily_bhar,207.0
insufficient_bhar_data,T=250: short_post_window,daily_bhar,207.0
regression_skipped,announcement_bhar: no usable predictors,,
regression_skipped,completion_bhar: no usable predictors,,
insufficient_bhar_data,source_row=2 T=60: missing_stock_return; valid_pairs=0; max_t=167; min_fraction=0.75; min_tail=0,announcement_daily,2.0
insufficient_bhar_data,source_row=2 T=120: missing_stock_return; valid_pairs=0; max_t=167; min_fraction=0.75; min_tail=0,announcement_daily,2.0
insufficient_bhar_data,source_row=2 T=250: short_post_window; valid_pairs=0; max_t=167; min_fraction=0.75; min_tail=0,announcement_daily,2.0
insufficient_bhar_data,source_row=4 T=60: missing_stock_return; valid_pairs=0; max_t=113; min_fraction=0.75; min_tail=0,announcement_daily,4.0
insufficient_bhar_data,source_row=4 T=120: short_post_window; valid_pairs=0; max_t=113; min_fraction=0.75; min_tail=0,announcement_daily,4.0
insufficient_bhar_data,source_row=4 T=250: short_post_window; valid_pairs=0; max_t=113; min_fraction=0.75; min_tail=0,announcement_daily,4.0
insufficient_bhar_data,source_row=5 T=60: missing_stock_return; valid_pairs=0; max_t=201; min_fraction=0.75; min_tail=0,announcement_daily,5.0
insufficient_bhar_data,source_row=5 T=120: missing_stock_return; valid_pairs=0; max_t=201; min_fraction=0.75; min_tail=0,announcement_daily,5.0
insufficient_bhar_data,source_row=5 T=250: short_post_window; valid_pairs=0; max_t=201; min_fraction=0.75; min_tail=0,announcement_daily,5.0
insufficient_bhar_data,source_row=6 T=60: missing_stock_return; valid_pairs=0; max_t=227; min_fraction=0.75; min_tail=0,announcement_daily,6.0
insufficient_bhar_data,source_row=6 T=120: missing_stock_return; valid_pairs=0; max_t=227; min_fraction=0.75; min_tail=0,announcement_daily,6.0
insufficient_bhar_data,source_row=6 T=250: short_post_window; valid_pairs=0; max_t=227; min_fraction=0.75; min_tail=0,announcement_daily,6.0
insufficient_bhar_data,source_row=7 T=60: missing_stock_return; valid_pairs=0; max_t=181; min_fraction=0.75; min_tail=0,announcement_daily,7.0
insufficient_bhar_data,source_row=7 T=120: missing_stock_return; valid_pairs=0; max_t=181; min_fraction=0.75; min_tail=0,announcement_daily,7.0
insufficient_bhar_data,source_row=7 T=250: short_post_window; valid_pairs=0; max_t=181; min_fraction=0.75; min_tail=0,announcement_daily,7.0
insufficient_bhar_data,source_row=8 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,8.0
insufficient_bhar_data,source_row=8 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,8.0
insufficient_bhar_data,source_row=8 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,8.0
insufficient_bhar_data,source_row=9 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,9.0
insufficient_bhar_data,source_row=9 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,9.0
insufficient_bhar_data,source_row=9 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,9.0
insufficient_bhar_data,source_row=10 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,10.0
insufficient_bhar_data,source_row=10 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,10.0
insufficient_bhar_data,source_row=10 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,10.0
insufficient_bhar_data,source_row=15 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,15.0
insufficient_bhar_data,source_row=15 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,15.0
insufficient_bhar_data,source_row=15 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,15.0
insufficient_bhar_data,source_row=16 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,16.0
insufficient_bhar_data,source_row=16 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,16.0
insufficient_bhar_data,source_row=16 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,16.0
insufficient_bhar_data,source_row=17 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,17.0
insufficient_bhar_data,source_row=17 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,17.0
insufficient_bhar_data,source_row=17 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,17.0
insufficient_bhar_data,source_row=18 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,18.0
insufficient_bhar_data,source_row=18 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,18.0
insufficient_bhar_data,source_row=18 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,18.0
insufficient_bhar_data,source_row=19 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,19.0
insufficient_bhar_data,source_row=19 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,19.0
insufficient_bhar_data,source_row=19 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,19.0
insufficient_bhar_data,source_row=20 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,20.0
insufficient_bhar_data,source_row=20 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,20.0
insufficient_bhar_data,source_row=20 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,20.0
insufficient_bhar_data,source_row=23 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,23.0
insufficient_bhar_data,source_row=23 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,23.0
insufficient_bhar_data,source_row=23 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,23.0
insufficient_bhar_data,source_row=24 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,24.0
insufficient_bhar_data,source_row=24 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,24.0
insufficient_bhar_data,source_row=24 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,24.0
insufficient_bhar_data,source_row=25 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,25.0
insufficient_bhar_data,source_row=25 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,25.0
insufficient_bhar_data,source_row=25 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,25.0
insufficient_bhar_data,source_row=26 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,26.0
insufficient_bhar_data,source_row=26 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,26.0
insufficient_bhar_data,source_row=26 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,26.0
insufficient_bhar_data,source_row=27 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,27.0
insufficient_bhar_data,source_row=27 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,27.0
insufficient_bhar_data,source_row=27 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,27.0
insufficient_bhar_data,source_row=28 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,28.0
insufficient_bhar_data,source_row=28 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,28.0
insufficient_bhar_data,source_row=28 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,28.0
insufficient_bhar_data,source_row=30 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,30.0
insufficient_bhar_data,source_row=30 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,30.0
insufficient_bhar_data,source_row=30 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,30.0
insufficient_bhar_data,source_row=33 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,33.0
insufficient_bhar_data,source_row=33 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,33.0
insufficient_bhar_data,source_row=33 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,33.0
insufficient_bhar_data,source_row=34 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,34.0
insufficient_bhar_data,source_row=34 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,34.0
insufficient_bhar_data,source_row=34 T=250: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,34.0
insufficient_bhar_data,source_row=35 T=60: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,35.0
insufficient_bhar_data,source_row=35 T=120: missing_stock_return; valid_pairs=0; max_t=250; min_fraction=0.75; min_tail=0,announcement_daily,35.0
