source_row_excel,buyer_ticker,buyer_company,deal_object,event_name,release_date,release_time,is_off_market_release,anchor_trade_date,anchor_timestamp_msk,trade_day_offset,timestamp_msk,price_at_timestamp_rub,volume_during_timestamp_plus_15m_mn_rub
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T20:30:00+03:00,279.79,47.80636245
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T20:45:00+03:00,279.6,43.151338
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T21:00:00+03:00,279.51,42.5274465
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T21:15:00+03:00,279.53,33.5871467
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T21:30:00+03:00,279.7,46.83770535
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T21:45:00+03:00,279.86,69.19834159999999
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T22:00:00+03:00,279.63,113.66118247499999
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T22:15:00+03:00,279.19,64.86644969999999
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T22:30:00+03:00,278.98,253.88490435000003
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T22:45:00+03:00,278.31,103.219618425
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T23:00:00+03:00,278.24,23.5021852
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T23:15:00+03:00,278.47,87.2333397
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T23:30:00+03:00,277.79,91.6449633
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,0,2021-03-03T23:45:00+03:00,278.16,13.79172285
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T09:45:00+03:00,278.5,41.855765
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T10:00:00+03:00,278.53,1282.1475252250002
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T10:15:00+03:00,277.34,777.60897375
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T10:30:00+03:00,277.7,514.7654193
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T10:45:00+03:00,277.83,476.6806002000001
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T11:00:00+03:00,277.89,510.3730125
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T11:15:00+03:00,278.0,547.2877014500001
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T11:30:00+03:00,276.8,1144.1256048000002
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T11:45:00+03:00,275.98,624.1672726500001
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T12:00:00+03:00,275.82,952.5640897500001
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T12:15:00+03:00,275.05,537.61143875
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T12:30:00+03:00,276.25,437.72164425
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T12:45:00+03:00,276.1,426.76454150000006
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T13:00:00+03:00,276.5,243.35694285
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T13:15:00+03:00,276.17,254.41838160000003
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T13:30:00+03:00,276.38,366.79822620000004
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T13:45:00+03:00,276.5,193.44696180000003
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T14:00:00+03:00,276.68,200.216916
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T14:15:00+03:00,276.26,126.05779649999998
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T14:30:00+03:00,276.25,227.696448925
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T14:45:00+03:00,276.12,305.5325049
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T15:00:00+03:00,276.92,696.940817375
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T15:15:00+03:00,277.72,291.4349917
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T15:30:00+03:00,277.18,183.74110075
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T15:45:00+03:00,277.24,319.9430055
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T16:00:00+03:00,276.6,203.35649985000003
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T16:15:00+03:00,276.53,179.00684130000002
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T16:30:00+03:00,277.2,615.65800275
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T16:45:00+03:00,278.22,552.0545975
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T17:00:00+03:00,278.28,1096.624423775
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T17:15:00+03:00,279.65,1185.7073934
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T17:30:00+03:00,280.89,1158.9583025999998
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T17:45:00+03:00,280.77,928.980604525
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T18:00:00+03:00,280.08,425.1631387499999
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T18:15:00+03:00,280.0,698.795120375
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T18:30:00+03:00,280.77,399.05173462499994
68,SBER,Сбер (Сбербанк),Ё-инжиниринг,first_press_release,2021-03-03,,0,2021-03-03,2021-03-03T09:45:00+03:00,1,2021-03-04T18:45:00+03:00,279.84,749.0253408
