Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts
ПАО Совкомбанк,SVCB,Современный коммерческий ипотечный банк (СКИБ) (ICICI Bank Eurasia Limited Liability Company (IBEL)),08.12.2014,,,,Завершена,"3,60","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,3.2015,12.2014,12.2014,18.03.2015,08.12.2014,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2014-12-08,,2015-03-18,2014-12-08,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.401523+03:00
Яндекс,YDEX,Метабар / Сервис Советник,09.12.2014,,09.12.2014,03:12,Завершена,"5,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,12.2014,,,09.12.2014,09.12.2014,Телекоммуникации,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2014-12-09,,2014-12-09,2014-12-09,0,2014-12-09,2014-12-09T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.403138+03:00
Сбер (Сбербанк),SBER,НПО Мостовик (г. Омск),18.11.2014,14:38,10.12.2014,14:01,Оформление,,"42,77%",Консолидация,Рыночная,Круговая,Внутренняя,,11.2014,12.2014,11.12.2014,05.05.2014,Строительство,Россия (СФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",1.87459,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2014-11-18,14:38,2014-12-11,2014-05-05,0,,,no_intraday_on_release_day,3.12.9,2026-03-22T00:38:56.406666+03:00
Сбер (Сбербанк),SBER,Промстройгрупп,28.11.2014,,28.11.2014,17:22,Оформление,,"51,00%",Покупка,Рыночная,Круговая,Внутренняя,,,11.2014,28.11.2014,28.11.2014,Строительство,"Беларусь, Казахстан, Россия",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",1.87459,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2014-11-28,,2014-11-28,2014-11-28,0,2014-11-28,2014-11-28T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.409399+03:00
Альфа-банк,ACBR,Балтийский банк,29.08.2014,13:34,,,Завершена,,"89,00%",Поглощение,Рыночная,Горизонтальная,Внутренняя,10.2014,8.2014,,15.10.2014,21.08.2014,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2014-08-29,13:34,2014-10-15,2014-08-21,,,,,3.12.9,2026-03-22T00:38:56.412163+03:00
Яндекс,YDEX,Adfox,11.09.2014,,10.09.2014,16:57,Завершена,"11,30","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,9.2014,,,11.09.2014,11.09.2014,Телекоммуникации,Россия (ЦФО),Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2014-09-11,,2014-09-11,2014-09-11,0,2014-09-11,2014-09-11T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.414085+03:00
Сбер (Сбербанк),SBER,Сеть солнечных электростанций (СЭС) в Крыму компании Activ Solar,26.08.2014,00:20,,,Переговоры,"100,00","33,33%",Влияние,Рыночная,Круговая,Внутренняя,,8.2014,,27.08.2014,26.08.2014,Энергетика,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.454004,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2014-08-26,00:20,2014-08-27,2014-08-26,0,,,no_intraday_on_release_day,3.12.9,2026-03-22T00:38:56.416044+03:00
Яндекс,YDEX,Auto.ru,16.06.2014,14:49,20.08.2014,19:40,Завершена,"175,00","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,8.2014,,6.2014,15.10.2014,16.06.2014,СМИ / Реклама / Спорт,Россия (ЦФО),Телекоммуникации,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2014-06-16,14:49,2014-10-15,2014-06-16,0,,,no_intraday_on_release_day,3.12.9,2026-03-22T00:38:56.417848+03:00
Промсвязьбанк (ПСБ),PSBR,Оптифуд,18.07.2014,18:44,,,Переговоры,"275,90","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,,7.2014,12.2013,21.07.2014,25.12.2013,Пищевая промышленность,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2014-07-18,18:44,2014-07-21,2013-12-25,,,,,3.12.9,2026-03-22T00:38:56.420073+03:00
Сбер (Сбербанк),SBER,Группа Разгуляй,02.06.2014,,,,Переговоры,"35,01","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,,5.2014,,23.05.2014,23.05.2014,Пищевая промышленность,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.390827,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2014-06-02,,2014-05-23,2014-05-23,0,2014-06-02,2014-06-02T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.422463+03:00
