Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts
ПАО Совкомбанк,SVCB,Инлайф Страхование (Страховая компания Уралсиб),07.09.2023,14:06,31.08.2023,,Завершена,"75,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,1.2024,7.2016,,11.01.2024,16.08.2016,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,0.139271,,0.169959,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2023-09-07,14:06,2024-01-11,2016-08-16,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.136522+03:00
Альфа-банк,ACBR,Дойче Лизинг Восток,12.05.2023,,15.05.2023,10:14,Завершена,"90,70","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,5.2023,,,12.05.2023,12.05.2023,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2023-05-12,,2023-05-12,2023-05-12,,,,,3.12.9,2026-03-22T00:38:56.139942+03:00
ПАО Совкомбанк,SVCB,В2СPL (B2C платежи и логистика),14.06.2023,,16.05.2023,17:22,Завершена,,"100,00%",Присоединение,Рыночная,Вертикальная,Внутренняя,5.2023,,,16.05.2023,14.06.2023,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2023-06-14,,2023-05-16,2023-06-14,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.142336+03:00
Т-банк (Тинькофф),T,CloudPayments,12.10.2017,10:00,22.05.2019,09:30,Завершена,,"5,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,1.2023,,,18.01.2023,13.10.2017,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2017-10-12,10:00,2023-01-18,2017-10-13,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.144523+03:00
Промсвязьбанк (ПСБ),PSBR,Банк Северный морской путь (СМП банк),13.12.2022,,30.12.2022,14:30,Завершена,"654,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,12.2022,6.2022,12.2022,30.12.2022,23.06.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2022-12-13,,2022-12-30,2022-06-23,,,,,3.12.9,2026-03-22T00:38:56.147076+03:00
Т-банк (Тинькофф),T,AnyQuery,24.11.2022,,03.08.2022,13:31,Завершена,,"33,00%",Влияние,Рыночная,Вертикальная,Внутренняя,8.2022,,,03.08.2022,24.11.2022,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2022-11-24,,2022-08-03,2022-11-24,0,2022-11-24,2022-11-24T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.149325+03:00
Ренессанс Капитал,RENI,Ситибанк,14.06.2022,,18.02.2026,17:09,Оформление,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,,5.2022,11.2025,12.11.2025,14.06.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,0.627154,,0.636662,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,RENI,Ренессанс Страхование,TQBR,a57d3a52-63d5-417b-b66d-c6114587f0ea,BBG00QKJSX05,0,2022-06-14,,2025-11-12,2022-06-14,0,2022-06-14,2022-06-14T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.151085+03:00
Т-банк (Тинькофф),T,БАНКОМ,05.04.2022,,05.04.2022,,Завершена,,"51,00%",Покупка,Рыночная,Вертикальная,Внутренняя,4.2022,,,05.04.2022,05.04.2022,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2022-04-05,,2022-04-05,2022-04-05,0,2022-04-05,2022-04-05T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.153478+03:00
ПАО Совкомбанк,SVCB,Витабанк,13.01.2026,10:22,21.02.2022,,Завершена,,"31,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,2.2022,,,22.02.2022,18.05.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2026-01-13,10:22,2022-02-22,2022-05-18,0,2026-01-13,2026-01-13T10:15:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.157198+03:00
ПАО Совкомбанк,SVCB,Узагроэкспортбанк,23.02.2022,20:49,17.06.2022,09:01,Отменена,"4,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Импортная,,,2.2022,27.06.2022,29.11.2021,Финансы / Инвестиции / Страхование / Консалтинг,Узбекистан,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2022-02-23,20:49,2022-06-27,2021-11-29,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.160557+03:00
Промсвязьбанк (ПСБ),PSBR,НПФ Гефест,03.02.2022,08:22,18.02.2022,13:41,Завершена,"5,23—7,84","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,2.2022,,,03.02.2022,13.04.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2022-02-03,08:22,2022-02-03,2022-04-13,,,,,3.12.9,2026-03-22T00:38:56.163243+03:00
Сбер (Сбербанк),SBER,Стокманн Россия,26.01.2022,13:10,11.05.2022,06:52,Отменена,"12,90—19,40","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,,,1.2022,12.05.2022,26.01.2022,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.388006,,3.900429,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2022-01-26,13:10,2022-05-12,2022-01-26,0,2022-01-26,2022-01-26T13:00:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.164771+03:00
Альфа-банк,ACBR,Франсабанк,17.12.2021,14:02,29.12.2021,14:01,Завершена,"10,90","99,98%",Поглощение,Рыночная,Горизонтальная,Импортная,12.2021,,,29.12.2021,30.12.2021,Финансы / Инвестиции / Страхование / Консалтинг,Беларусь,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2021-12-17,14:02,2021-12-29,2021-12-30,,,,,3.12.9,2026-03-22T00:38:56.167386+03:00
ПАО Совкомбанк,SVCB,Страховая компания Согласие,16.01.2022,,,,Переговоры,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,,12.2021,,23.12.2021,16.01.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2022-01-16,,2021-12-23,2022-01-16,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.168780+03:00
Сбер (Сбербанк),SBER,FuelUp,23.11.2021,,22.11.2021,19:21,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,11.2021,,,22.11.2021,23.11.2021,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.639261,,4.943154,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-11-23,,2021-11-22,2021-11-23,0,2021-11-23,2021-11-23T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.170466+03:00
Т-банк (Тинькофф),T,Jump.Finance,10.01.2022,,26.11.2021,12:50,Завершена,,"51,00%",Покупка,Рыночная,Вертикальная,Внутренняя,11.2021,,,26.11.2021,10.01.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2022-01-10,,2021-11-26,2022-01-10,0,2022-01-10,2022-01-10T07:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.174049+03:00
ПАО Совкомбанк,SVCB,Best2pay,10.01.2022,,29.11.2021,22:54,Завершена,"44,90","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,10.2021,,,30.10.2021,10.01.2022,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2022-01-10,,2021-10-30,2022-01-10,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.177313+03:00
Сбер (Сбербанк),SBER,Ниармедик,15.11.2021,,15.09.2021,19:33,Завершена,,"49,90%",Партнерство,Рыночная,Круговая,Внутренняя,9.2021,,,16.09.2021,15.11.2021,Химия / Фармацевтика,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.182498,,4.463921,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-11-15,,2021-09-16,2021-11-15,0,2021-11-15,2021-11-15T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.179480+03:00
ПАО Совкомбанк,SVCB,Finex Investment Management,24.01.2022,,20.01.2022,,Завершена,,"90,10%",Консолидация,Рыночная,Вертикальная,Импортная,9.2021,,,30.09.2021,24.01.2022,Финансы / Инвестиции / Страхование / Консалтинг,Великобритания,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2022-01-24,,2021-09-30,2022-01-24,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.181795+03:00
ПАО Совкомбанк,SVCB,FinEx London,24.01.2022,,20.01.2022,,Завершена,,"90,10%",Консолидация,Рыночная,Вертикальная,Импортная,9.2021,,,30.09.2021,24.01.2022,Финансы / Инвестиции / Страхование / Консалтинг,Великобритания,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2022-01-24,,2021-09-30,2022-01-24,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.183419+03:00
Сбер (Сбербанк),SBER,Jivo (ООО Живой сайт),07.06.2021,,13.08.2021,11:26,Завершена,"20,60—27,40","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,8.2021,,6.2021,13.08.2021,08.06.2021,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.185069,,4.461206,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-06-07,,2021-08-13,2021-06-08,0,2021-06-07,2021-06-07T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.184974+03:00
Сбер (Сбербанк),SBER,Gosu Data Lab.,28.04.2021,16:56,02.08.2021,,Завершена,,"75,60%",Поглощение,Рыночная,Вертикальная,Внутренняя,8.2021,4.2021,,02.08.2021,08.06.2021,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.185069,,4.461206,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-04-28,16:56,2021-08-02,2021-06-08,0,2021-04-28,2021-04-28T16:45:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.187004+03:00
Сбер (Сбербанк),SBER,InSales,14.04.2021,,12.04.2021,,Завершена,,"80,00%",Поглощение,Рыночная,Вертикальная,Внутренняя,7.2021,,4.2021,01.07.2021,14.04.2021,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.24422,,4.116027,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-04-14,,2021-07-01,2021-04-14,0,2021-04-14,2021-04-14T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.190719+03:00
Яндекс,YDEX,Яндекс Банк (Банк Акрополь),29.04.2021,11:26,16.07.2021,19:37,Завершена,"14,70","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,7.2021,,4.2021,16.07.2021,29.04.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2021-04-29,11:26,2021-07-16,2021-04-29,0,2021-04-29,2021-04-29T11:15:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.193818+03:00
ПАО Совкомбанк,SVCB,ГК Национальная факторинговая компания (НФК),13.05.2021,22:31,14.05.2021,12:49,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,7.2021,,5.2021,20.07.2021,14.05.2021,Финансы / Инвестиции / Страхование / Консалтинг,"Молдова, Россия",Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2021-05-13,22:31,2021-07-20,2021-05-14,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.196553+03:00
Сбер (Сбербанк),SBER,АМК Фарма,29.06.2021,,28.05.2021,00:00,Завершена,,"100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,5.2021,,,31.05.2021,29.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.815248,,4.307931,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-06-29,,2021-05-31,2021-06-29,0,2021-06-29,2021-06-29T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.198295+03:00
Сбер (Сбербанк),SBER,Регионы Финанс,29.06.2021,,28.05.2021,00:00,Завершена,,"100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,5.2021,,,31.05.2021,29.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.815248,,4.307931,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-06-29,,2021-05-31,2021-06-29,0,2021-06-29,2021-06-29T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.200403+03:00
ПАО Совкомбанк,SVCB,Септем Капитал / Yango. Доходчивые вложения,29.06.2021,,04.05.2021,11:11,Завершена,,"25,01%",Консолидация,Рыночная,Вертикальная,Внутренняя,5.2021,,,04.05.2021,29.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2021-06-29,,2021-05-04,2021-06-29,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.202044+03:00
ПАО Совкомбанк,SVCB,Управляющая компания (УК) Восточный Капитал,29.06.2021,,14.04.2021,,Завершена,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,5.2021,,,31.05.2021,29.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2021-06-29,,2021-05-31,2021-06-29,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.203589+03:00
OZON.ru,OZON,ОНЕЙ БАНК,13.04.2021,09:30,26.05.2021,23:34,Завершена,"8,80","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,5.2021,,4.2021,27.05.2021,13.04.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Услуги / торговля,Россия,58.298729,,53.917663,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_before_open_same_day_open,,1,OZON,МКПАО Озон,TQBR,75e003c2-ca14-4980-8d7b-e82ec6b6ffe1,TCS80A10CW95,0,2021-04-13,09:30,2021-05-27,2021-04-13,1,2021-04-13,2021-04-13T09:45:00+03:00,release_before_open_same_day_open,3.12.9,2026-03-22T00:38:56.206808+03:00
Сбер (Сбербанк),SBER,GOODS.RU (Маркетплейс),28.01.2021,13:25,15.04.2021,12:52,Завершена,"468,00","85,00%",Поглощение,Рыночная,Вертикальная,Внутренняя,4.2021,,1.2021,15.04.2021,02.03.2021,Услуги / торговля,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.690788,,3.631472,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-01-28,13:25,2021-04-15,2021-03-02,0,2021-01-28,2021-01-28T13:15:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.209954+03:00
Сбер (Сбербанк),SBER,Movika,08.06.2021,,02.04.2021,15:18,Завершена,,"57,92%",Покупка,Рыночная,Вертикальная,Внутренняя,4.2021,,3.2021,23.04.2021,08.06.2021,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.690788,,3.631472,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2021-06-08,,2021-04-23,2021-06-08,0,2021-06-08,2021-06-08T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.213390+03:00
Яндекс,YDEX,еКредит,09.04.2021,12:27,18.05.2021,,Завершена,,"25,00%",Участие,Рыночная,Вертикальная,Внутренняя,4.2021,,,09.04.2021,08.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2021-04-09,12:27,2021-04-09,2021-06-08,0,2021-04-09,2021-04-09T12:15:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.215619+03:00
Яндекс,YDEX,Чаевые просто,27.04.2021,,27.04.2021,21:24,Завершена,"1,00—5,00","100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,4.2021,,,27.04.2021,27.04.2021,Телекоммуникации,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2021-04-27,,2021-04-27,2021-04-27,0,2021-04-27,2021-04-27T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.217779+03:00
ПАО Совкомбанк,SVCB,Банк Восточный (Восточный экспресс банк),26.03.2021,,12.04.2021,04:37,Завершена,"111,90","88,00%",Поглощение,Рыночная,Горизонтальная,Внутренняя,4.2021,,3.2021,08.04.2021,26.03.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2021-03-26,,2021-04-08,2021-03-26,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.219831+03:00
ПАО Совкомбанк,SVCB,СПБ Биржа (Санкт-Петербургская биржа),23.03.2020,10:46,19.04.2021,,Завершена,,"12,93%",Участие,Рыночная,Параллельная,Внутренняя,4.2021,,,16.04.2021,08.06.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия (СЗФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2020-03-23,10:46,2021-04-16,2021-06-08,0,,,no_trade_days_near_release,3.12.9,2026-03-22T00:38:56.222890+03:00
Т-банк (Тинькофф),T,Кошелек / CardsMobile (ООО Бесконтакт),29.04.2021,,29.04.2021,15:27,Завершена,,"51,00%",Покупка,Рыночная,Вертикальная,Внутренняя,4.2021,,,29.04.2021,29.04.2021,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2021-04-29,,2021-04-29,2021-04-29,0,2021-04-29,2021-04-29T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-22T00:38:56.225263+03:00
Сбер (Сбербанк),SBER,АО Электрозавод,28.12.2020,22:44,20.02.2021,09:02,Завершена,"64,50","22,48%",Консолидация,Рыночная,Круговая,Внутренняя,3.2021,,,02.03.2021,11.05.2021,Машиностроение,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.482375,,4.014507,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-12-28,22:44,2021-03-02,2021-05-11,0,2020-12-28,2020-12-28T22:30:00+03:00,release_in_market,3.12.9,2026-03-22T00:38:56.228298+03:00
Альфа-банк,ACBR,нетмонет,15.02.2021,,09.03.2021,13:05,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,3.2021,,,11.03.2021,06.04.2021,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,skipped,ignored_unresolved_row,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2021-02-15,,2021-03-11,2021-04-06,,,,,3.12.9,2026-03-22T00:38:56.231056+03:00
